Student_ID	Midterm	Final	HW1	HW2	HW3	Attendance	Grade
Student1	29.3814433	30	10	10	10	10	A+
Student2	25.36082474	29	10	11	11	10	A+
Student3	30	15	10	9	10	10	A+
Student4	28.7628866	12	8	9	11	10	A+
Student5	28.7628866	12	8	11	8	10	A+
Student6	23.50515464	12	10	11	11	10	A+
Student7	25.05154639	8	10	11	9	10	A+
Student8	19.48453608	15	10	9	9	10	A+
Student9	22.57731959	8	8	11	11	10	B+
Student10	22.57731959	14	2	11	11	10	B+
Student11	23.50515464	12	10	8	7	10	B+
Student12	24.74226804	12	10	6	7	10	B+
Student13	19.79381443	15	10	9	5	10	B+
Student14	22.57731959	14	10	9	0	10	B+
Student15	20.10309278	10	10	8	6	6	B+
Student16	19.17525773	10	10	7	2	10	B+
Student17	17.01030928	8	10	8	5	10	B+
Student18	11.75257732	8	10	10	6	10	B+
Student19	17.31958763	3	10	4	1	10	C+
Student20	13.29896907	8	0	4	8	10	C+
Student21	11.75257732	8	6	7	0	8	C+
Student22	17.62886598	0	6	3	0	10	C+
Student23	6.494845361	0	2	10	4	10	C+
Student24	11.13402062	0	4	0	0	10	F
Student25	11.44329897	0	0	0	0	10	F
Student26	1.855670103	0	2	0	2	10	F
Student27	11.75257732	0	0	0	0	2	F
Student28	7.731958763	0	0	0	0	4	F
Student29	2.783505155	0	0	0	0	6	F
